"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TOMM7",0,0.775682388729228,0.828,0.608,0
"LAMTOR4",0,0.588235936806589,0.662,0.449,0
"IL6",0,1.68997919523298,0.152,0.008,0
"UPP1",0,1.14503110512656,0.427,0.177,0
"TNS3",0,1.11530969414107,0.481,0.214,0
"CALU",0,0.591220822170593,0.446,0.237,0
"SLC25A6",0,0.981517144189218,0.781,0.556,0
"TIMP1",0,2.25737141674737,0.709,0.511,0
"COX7B",0,0.699239090874134,0.715,0.482,0
"SSR4",0,3.14270485372377,0.81,0.533,0
"RPL36A",0,1.01656642956982,0.86,0.645,0
"CFP",0,0.686482670234479,0.314,0.128,0
"RPL10",0,1.14388212049262,0.944,0.944,0
"RPL39",0,0.951988592889109,0.938,0.872,0
"NDUFA1",0,0.773371119837734,0.73,0.512,0
"ATP6AP1",0,0.529162646225377,0.464,0.237,0
"PRDX4",0,2.10017430994719,0.36,0.132,0
"ACSL4",0,1.04485237294087,0.621,0.407,0
"SAT1",0,1.51873514798315,0.858,0.762,0
"NDUFB11",0,0.926454230693104,0.64,0.384,0
"ARMCX3",0,0.475833935460852,0.403,0.21,0
"EIF1AX",0,0.601284254780714,0.678,0.44,0
"BTK",0,0.423771892584813,0.339,0.116,0
"CYBB",0,0.835049217615477,0.475,0.219,0
"RBM3",0,0.59299247501281,0.736,0.512,0
"SLC25A5",0,0.668974070838662,0.664,0.436,0
"TMSB4X",0,0.761197800897446,0.975,0.991,0
"PGK1",0,0.801490391593294,0.791,0.603,0
"RPS4X",0,1.20231476635936,0.903,0.843,0
"IL13RA1",0,0.640529284236213,0.334,0.147,0
"UXT",0,0.559318448780118,0.65,0.416,0
"RBIS",0,0.593410042591937,0.614,0.409,0
"FABP5",0,1.00385167906233,0.316,0.137,0
"MTDH",0,0.835237185968094,0.78,0.585,0
"ZNF706",0,0.930036847334845,0.611,0.357,0
"RPL30",0,0.791573215716435,0.93,0.894,0
"UQCRB",0,0.805531848722725,0.817,0.62,0
"NCALD",0,-1.2633534769436,0.225,0.564,0
"SDC2",0,1.09096719487872,0.182,0.038,0
"TRAM1",0,0.829789838084487,0.651,0.392,0
"RPL7",0,0.884721192807711,0.878,0.719,0
"VPS28",0,0.470211230206285,0.619,0.413,0
"ENPP2",0,0.994354199991842,0.243,0.08,0
"GRINA",0,0.684527153969834,0.471,0.276,0
"ENY2",0,0.485680325509688,0.593,0.381,0
"PABPC1",0,0.389674267703903,0.905,0.813,0
"EIF3E",0,0.60857512687473,0.761,0.542,0
"RPS20",0,0.790910878629627,0.88,0.714,0
"CTSB",0,1.38347244771837,0.593,0.306,0
"MTSS1",0,1.68567835412113,0.346,0.106,0
"COX6C",0,0.679046259004034,0.748,0.559,0
"PTP4A3",0,0.702745593876485,0.199,0.065,0
"NAPRT",0,0.346313100767498,0.33,0.144,0
"RPL8",0,1.03261630170247,0.895,0.766,0
"EIF3H",0,0.393628765673712,0.754,0.549,0
"ELOC",0,0.539086711026747,0.582,0.364,0
"LY96",0,0.844129976659249,0.435,0.197,0
"EEF1D",0,0.907785037567329,0.859,0.669,0
"CTHRC1",0,0.68040595358439,0.133,0.024,0
"PNOC",0,0.444081735776708,0.162,0.023,0
"FBXO16",0,0.51212522941552,0.167,0.02,0
"TXN",0,0.863841993764733,0.641,0.425,0
"DAPK1",0,1.09819507057935,0.422,0.216,0
"SYK",0,0.914061955714868,0.72,0.48,0
"RPL35",0,1.04765389141465,0.898,0.771,0
"PLIN2",0,1.6549740398332,0.474,0.189,0
"RPL12",0,0.972494659822734,0.91,0.807,0
"NIBAN2",0,0.414296529610361,0.239,0.076,0
"PHPT1",0,0.584287030519409,0.488,0.293,0
"EDF1",0,0.733282331875596,0.754,0.529,0
"ATP6V1G1",0,0.580822581811084,0.768,0.587,0
"RPL7A",0,1.1533571948783,0.903,0.816,0
"SURF1",0,0.555967265335381,0.43,0.21,0
"SLC2A6",0,0.558642932306594,0.318,0.094,0
"HSPA5",0,1.2540451553907,0.676,0.483,0
"VCP",0,0.562428167035457,0.565,0.346,0
"KANK1",0,0.3593794501222,0.175,0.045,0
"RPS6",0,0.763586339724839,0.913,0.865,0
"RIC1",0,0.809025606505217,0.589,0.346,0
"PSMB7",0,0.463306735320458,0.572,0.356,0
"CD274",0,0.558012076415581,0.244,0.072,0
"PDCD1LG2",0,0.446040766730674,0.179,0.036,0
"SEC61B",0,1.45573518936128,0.754,0.515,0
"ANP32B",0,0.405445756792475,0.68,0.477,0
"NANS",0,0.767924514828364,0.427,0.179,0
"TNFSF8",0,0.94009507046524,0.355,0.104,0
"DPP7",0,0.737280452710158,0.512,0.311,0
"BAG1",0,0.457644151819986,0.459,0.257,0
"ZNF215",0,0.673671624618418,0.148,0.022,0
"EIF3M",0,0.461627270176449,0.632,0.417,0
"SMCO4",0,0.47070442594126,0.369,0.166,0
"HSPA8",0,0.643841945026348,0.782,0.611,0
"RPS3",0,0.941905968456331,0.91,0.84,0
"MS4A7",0,1.09444231075749,0.333,0.101,0
"MPEG1",0,0.678895972502056,0.387,0.2,0
"TALDO1",0,0.588274429368822,0.636,0.428,0
"RPLP2",0,0.878444480414104,0.918,0.836,0
"POLR2L",0,0.808548574434761,0.716,0.504,0
"TIMM8B",0,0.476257671310099,0.51,0.307,0
"IL18",0,0.831207083657282,0.298,0.129,0
"MRPL23",0,0.548355525165604,0.449,0.2,0
"COX8A",0,0.56530906641285,0.711,0.511,0
"YIF1A",0,0.456691820109976,0.324,0.137,0
"TMEM258",0,1.27016872391405,0.728,0.503,0
"EIF3F",0,0.566687048759884,0.683,0.44,0
"PTPMT1",0,0.372531626615316,0.325,0.143,0
"CADM1",0,0.987238447754551,0.138,0.027,0
"UCP2",0,0.785612862912992,0.611,0.393,0
"CFL1",0,0.700762901888946,0.89,0.775,0
"CTSW",0,-0.61393132521364,0.207,0.496,0
"NDUFC2",0,0.669024960999851,0.607,0.412,0
"RPS25",0,0.947514081701794,0.903,0.79,0
"GSTP1",0,1.4965353077764,0.711,0.463,0
"RPL27A",0,0.804214316891597,0.9,0.787,0
"RPS13",0,0.94329749731916,0.906,0.81,0
"DNAJC4",0,0.404294924410308,0.33,0.154,0
"POU2AF1",0,1.09739529511091,0.181,0.048,0
"TAF10",0,0.491742492732671,0.589,0.386,0
